Year,Month,Type,AuthorLvl,Role,Title,Journal,Conference,Location,Note,,
2023,5,Publication,1,First Author,The Impact of Biases in Facial Recognition Artificial Neural Networks,NRHC,,,,,
2026,8,Presentation,1,First Author,Beyond the Black Box: Digital Library Workflows for the Lowcountry Digital Library.,,LibLearning Retreat,Charleston,,,
2025,4,Poster,1,First Author, Is Friendship in the Cards? How Adolescent Brains Make Quantity Decisions Involving Friendship,,SANS,Chicago,,,
2025,4,Poster,2,Co-Author,Do I know you? Influence of adolescent social interactions on brain responses to familiar and AI-generated faces,,SANS,Chicago,,,
2025,4,Poster,3,Mentor,The Influence of Anxiety on Social Preferences in Adolescents: Exploring Group Size and Duration Choices,,DiscoverUSC,Columbia,,,
2025,4,Poster,3,Mentor,Social Quantity Preferences in Adolescence: Investigating the Correlation between the Need to Belong and Decisions in Social Quantity,,DiscoverUSC,Columbia,,,
2024,8,Blog,1,First Author,Importance of Inclusion in Science. B-RAD lab website article,,,,,,
2024,5,Presentation,3,Research Assistant,Characterizing friendships and other relationships in autistic adolescents,,The Love Consortium,Chapel Hill,,,
2024,4,Poster,5,Mentor,Exploring Nonverbal Communication Differences Among Individuals in Romantic Partnerships: A Neuroscientific Perspective,,DiscoverUSC,Columbia,Award,,
2024,4,Poster,5,Mentor,The Adolescent Brain: Quantifying the Relationship Between Social Awareness and Perception of Upright and Inverted Faces.,,DiscoverUSC,Columbia,,,
2024,4,Poster,5,Mentor,The Effect of Sleep Quality as Measured by Couple’s Sleep Performance in Charades,,DiscoverUSC,Columbia,,,
2024,4,Poster,2,Co-Author, Do I Know You? Brain Responses to Familiar and AI-Generated Faces,,SANS,Toronto,,,
2024,4,Poster,2,Co-Author, Do I Know You? Brain Responses to Familiar and AI-Generated Faces,,DiscoverUSC,Columbia,,,
2023,4,Presentation,1,First Author,French Polynesia: Flora and Fauna,,French Forum,Oswego,,,
2023,4,Poster,1,First Author,"The Impact of Biases in Facial Recognition Artificial Neural Networks: Towards More Ethical AI Past, Present, and Future",,QUEST,Oswego,,,
2023,4,Poster,1,First Author,The Impact of Biases in Facial Recognition Artificial Neural Networks,,NRHC,Pittsburgh,,,
2021,4,Presentation,1,First Author,Does Making Narcissists ‘Feel Bad’ Make Them Want to Be Better People?,,QUEST,Oswego,,,
